# ----------------------------------------
www.victusspiritus.com/
Top Content
"December 9, 2009","December 9, 2010"
# ----------------------------------------

# ----------------------------------------
# Graph
# ----------------------------------------
Month,Pageviews
"Jan 1, 2010 - Jan 31, 2010","5,264"
"Feb 1, 2010 - Feb 28, 2010","7,696"
"Mar 1, 2010 - Mar 31, 2010","4,763"
"Apr 1, 2010 - Apr 30, 2010","7,379"
"May 1, 2010 - May 31, 2010","7,336"
"Jun 1, 2010 - Jun 30, 2010","9,013"
"Jul 1, 2010 - Jul 31, 2010","5,245"
"Aug 1, 2010 - Aug 31, 2010","7,180"
"Sep 1, 2010 - Sep 30, 2010","13,394"
"Oct 1, 2010 - Oct 31, 2010","19,978"
"Nov 1, 2010 - Nov 30, 2010","12,673"

# ----------------------------------------
# Table
# ----------------------------------------
# Pivot by: Source

Page,Total:Avg. Time on Page,Total:Unique Pageviews
/outgoing/www.lostagain.nl/tempspace/PrototypeDiagram.html,466.5,4
/outgoing/wolfsongs.com/,465.0,3
/2010/10/17/tired-of-ads-and-shitty-content-click-everything/,461.9139784946237,1769
/?p=5128&preview=true,461.0,2
/2010/03/27/collaborative-creations-the-legacy-of-patterns/,460.0,8
/2009/06/27/the-art-of-war-with-social-media-in-5-steps/,455.8,18
/2010/10/05/distributed-social-app-with-couchdb-brilliant/"",455.0,1
/2010/01/24/when-building-an-organization-determine-who-we-are/,453.3333333333333,16
/outgoing/en.wikipedia.org/wiki/Economy_of_the_United_States,450.0,1
/?p=6056&preview=true,448.0,1
/?p=3295&preview=true,447.0,1
/2010/01/12/the-wheel-of-need-the-landscape-of-potential-technology/,445.5,44
/tag/twitter/,445.42857142857144,12
/2009/07/20/gut-check-are-you-an-entrepreneur/,445.25,3
/2009/08/21/real-time-search-over-federated-networks/,443.7,29
/2010/05/20/where-imagination-and-technology-collide/,438.9166666666667,47
/2010/01/27/the-catastrophe-of-the-economy-is-believing-it-will-recover-unchanged/,436.38461538461536,519
/2010/02/15/augmented-reality-opportunities/,435.04,190
/2009/12/15/marketing-oneself-is-a-distraction/,432.54545454545456,8
/2010/02/02/dont-let-a-little-thing-like-odds-stop-you/,431.6,31
/2010/03/31/seize-moments-of-opportunity-doubling-down/,429.4,16
/2010/07/20/refinement/,427.7142857142857,20
/tag/semantic-web/,427.0,1
/2010/08/29/massive-cash-reserves-are-a-sign-of-a-broken-economy/,424.83870967741933,390
/2010/01/18/javascript-twitter-realtime-search-widget/,422.0141509433962,599
/?p=4619,422.0,1
/2010/08/20/how-i-lost-my-startups-first-90k-client-and-won-my-freedom/,421.2173913043478,795
/2010/10/20/why-fucking-awesome-is-better-than-like/,419.10526315789474,68
/translate_c?hl=pt-BR&ie=UTF-8&sl=en&tl=pt&u=http://www.victusspiritus.com/2010/02/20/javascript-jquery-plugins-visualizations-dont-look-half-bad/&prev=_t&rurl=translate.google.com&usg=ALkJrhhWTkRpvOGTC3zgAcz5zysn1bjq4Q,418.0,1
/2009/05/24/do-you-perceive-a-need-for-a-virtual-web-representation-of-yourself/,416.6,14
/?p=3744&preview=true,416.5,1
/2010/03/14/vectors-that-lead-to-web-app-adoption/,415.93333333333334,43
/2009/12/24/making-prodigys-smack-my-bitch-up-in-ableton-by-jim-pavloff/?title=new,415.725,1431
/outgoing/it.toolbox.com/blogs/original-thinking/what-is-a-change-agent-23764,414.0,1
/tag/language/,413.0,1
/2010/10/23/differences-in-natural-and-technological-evolution/,411.4736842105263,121
/outgoing/paper.li/tag/minecraft,410.0,13
/2010/07/31/theres-nothing-quite-like-a-customer/,406.57142857142856,10
/2010/05/09/image-browser-for-twitter-is-live/,404.55263157894734,65
/outgoing/www.newyorker.com/online/blogs/johncassidy/2010/01/interview-with-eugene-fama.html,401.0,2
/2009/08/28/if-you-love-your-imagination-set-it-free/,400.3333333333333,7
/2010/02/21/springtime-renews-optimism-will-it-be-enough-to-jump-start-the-economy/,397.5,10
/2010/09/14/browsers-arent-operating-systems-but-will-dominate-as-an-application-platform/,393.0,29
/no/2009/06/15/legendary-leaders-just-dont-quit/,393.0,1
/2010/03/15/coffee-spiritual/,391.0,39
/translate_c?hl=de&langpair=en|de&u=http://www.victusspiritus.com/2009/03/29/social-media-will-be-the-dominant-design-focus-of-the-21st-century/&rurl=translate.google.de&twu=1&usg=ALkJrhjGlyoduZBCaRu6gTBbcntSmRtGog,391.0,1
/tag/hackers/,387.5,2
/outgoing/www.techyell.com/2010/05/the-tech-baggers-wanting-something-better-but-quieter/,387.0,1
/2010/05/06/hourly-wages-vs-income-streams/,384.1923076923077,184
/outgoing/www.victusmedia.com,384.0,2
/2009/09/15/build-ubiquitous-web-presence/,383.75,6
/2009/05/04/short-term-survival-trumps-searching-for-our-calling-but-only-in-the-short-term/,383.0,1
/?p=6148&preview=true,380.0,2
/2010/09/22/are-the-best-seed-deals-moving-out-of-the-valley/,379.0857142857143,112
/2010/03/19/less-than-100-ways-to-make-flexible-web-tools/,379.0769230769231,49
/2009/11/13/boys-and-their-toys-tools-the-7th-kingdom/,379.0,4
/2010/06/12/why-vcs-prefer-firing-founders/,376.9015873015873,2746
/tag/garage-dollar/,374.5,3
/2010/03/13/data-silos-or-a-social-web-pattern/?success=,374.0,1
/2010/05/07/even-rockstar-founders-are-frightened-by-failure/,373.6666666666667,496
/outgoing/googleblog.blogspot.com/2009/12/relevance-meets-real-time-web.html,371.5,2
/tag/software-development/,370.0,14
/?attachment_id=3689,369.5,3
/2010/04/24/hippy-capitalism/,369.4,3
/2009/02/22/a-new-journey/,366.5,5
/2009/03/26/10-far-out-methods-to-creating-effective-web-content/,364.6,7
/?p=5226&preview=true,363.0,1
/2010/01/14/nature-trumps-the-laws-of-man-in-the-long-run/,360.75,19
/2009/08/31/ebb-and-flow-ode-to-zen-habits/,360.6666666666667,16
/2009/07/04/data-death-and-reality-distortion-fields/,360.6,19
/2010/04/21/twitters-weird-lock-in/,359.0595238095238,1361
/outgoing/blog.persistent.info/2009/08/twitter-pubsubhubbub-bridge.html,359.0,11
/outgoing/www.Twitter.com/semantic2,359.0,4
/2010/06/28/highs-and-lows-come-and-go-but-will-is-relentless/,356.4947368421053,746
/outgoing/buildingblocks.posterous.com/restful-design-does-not-mandate-clientserver,356.0,4
/2009/12/24/making-prodigys-smack-my-bitch-up-in-ableton-by-jim-pavloff/,355.34684147794997,6751
/2010/02/17/mysteries-within-the-obvious-language-the-code-for-our-minds/,352.5,42
/?p=4705&preview=true,351.0,1
/2009/08/08/ignore-the-stats-connect-with-your-authentic-audience/,350.0,3
/translate_c?hl=pt-BR&ie=UTF-8&sl=en&tl=pt&u=http://www.victusspiritus.com/my-friends-and-influencers/&prev=_t&rurl=translate.google.com&usg=ALkJrhgjFd6ubdOJMVuMR8nMJY6PQuHlRg,349.0,1
/2009/11/22/practical-programming-holding-the-flow-of-code-in-mind/,348.9318181818182,172
/2009/10/08/youre-not-the-right-duracell-battery-unit/,347.6,13
/outgoing/wave.google.com/wave/#restored:wave:googlewave.com!w%2BRl-vBMEWC,346.8,9
/outgoing/www.stuckincustoms.com/2010/02/02/a-great-day-at-the-google-hq/,346.75,4
/2010/10/04/dead-on-arrival-startup-products/,345.25,122
/2009/04/12/stress-makes-programmers-dumber/,343.0833333333333,33
/outgoing/wiki.github.com/couchapp/couchapp/,342.8,15
/2009/06/06/hacking-startups-a-declaration-of-institutional-independence/,342.4,4
/2010/02/07/choice-is-beauty-why-im-leaving-apple-mobile-for-android/,342.1389645776567,4107
/2010/11/29/failing-faster-life-waits-for-no-founders-triumph/,341.0,24
/outgoing/www.stuckincustoms.com/2010/03/28/the-lime-couches/,337.0,1
/tag/health/,334.5,35
/?p=6082&preview=true,333.3333333333333,3
/2010/10/31/bigco-vs-pre-ipo-gangbuster/,331.25714285714287,159
/?p=2945&preview=true,329.2,5
/2009/07/page/2/,327.875,19
/2010/05/11/what-you-bring-to-the-table/,325.85714285714283,81
/2010/04/25/facebook-is-a-little-shop-of-horrors/,324.6,112
/2010/10/06/an-amateur-investors-tale-of-favored-sums-2/,322.73333333333335,22
/2010/02/24/negative-spaces/,322.2,99
/2010/12/08/the-big-startup-lie/,320.5,54
/2010/03/26/the-kensai-sacrifices-everything-to-master-the-sword/,319.44444444444446,137
/2010/08/22/startup-weapons-the-slingshot-the-symbiote-the-whip-and-the-phoenix/,315.72,89
/2010/05/29/that-voodoo-that-you-do-social-web-magic/,315.04761904761904,25
/2010/06/06/too-big-to-fail-in-english/,314.2857142857143,45
/2010/02/05/our-great-white-shark-is-the-ultimate-filter/,311.6,85
/2010/04/29/the-dark-side-of-the-web-praying-for-perspective-or-prospective-prey/,310.59090909090907,48
/?p=3046&preview=true,308.0,1
/?s=resume+html5,308.0,1
/2010/01/02/candy-to-the-imagination-a-day-trip-to-manhattan/,304.0,18
/2010/06/13/nationalism-ideals-worth-living-for/,302.75,26
/?p=3082&preview=true,302.625,1
/2010/,299.25,3
/2010/09/24/whats-important/,299.25,18
/2010/10/18/autonomy-dictate-your-own-boundaries/,298.0,33
/2010/06/22/the-promise-of-telepresence-the-reality-of-blogs-and-scaling-problems/,297.2857142857143,38
/?p=5021&preview=true,297.0,1
/2010/08/15/design-philosophy-orchestra-vs-improv-jazz/,296.8333333333333,37
/2010/03/07/the-adaptive-augmented-reality-web,296.0,4
/outgoing/en.wikipedia.org/wiki/List_of_cognitive_biases,296.0,2
/2010/07/03/is-there-a-moores-law-for-machine-intelligence/,295.36842105263156,534
/2010/04/30/what-if-we-made-each-decision-as-if-its-our-last/,294.3333333333333,35
/2010/09/13/if-you-cant-beat-them-join-them/,294.2857142857143,66
/translate_c?hl=id&langpair=en|id&u=http://www.victusspiritus.com/2010/04/11/strange-things-are-afoot-at-the-circle-k/&rurl=translate.google.co.id&usg=ALkJrhiTA-uxO-FTQKuRqRXJ11hR7ncwbQ,294.0,4
/2010/02/08/each-time-i-get-my-hands-dirty-i-learn/,291.8181818181818,66
/2010/05/14/waves-timing-and-becoming-real/,291.09090909090907,26
/2009/05/01/do-you-have-a-spaceship-i-could-borrow/,291.0,8
/2010/05/04/even-geniuses-run-off-of-cliffs/,290.69565217391306,98
/2009/10/14/essential-code-creation-from-desktop-to-web/,290.5,9
/outgoing/www.in8sworld.net/blog/archives/1588,290.0,1
/2009/05/31/satisfaction-versus-happiness/,289.74074074074076,279
/outgoing/ramaze.net/,289.0,1
/2010/05/02/where-are-you-on-the-financial-food-chain/,288.1111111111111,125
/2010/05/18/nostat-us-is-live/,287.6727272727273,71
/2010/03/11/which-web-are-you-from/,287.05263157894734,84
/2010/02/12/this-fictional-world-of-optimal-business-structures/,286.5,58
/2010/05/23/technological-and-product-commitment/,285.04545454545456,33
/page/23/,285.0,1
/2010/09/15/twitter-is-not-broader-than-pubsubhubbub/,284.0,401
/search?q=cache:php3k6SLjAQJ:www.victusspiritus.com/2009/07/29/crowd-sourced-venture-capitalism/+http://www.victusspiritus.com/2009/07/29/crowd-sourced-venture-capitalism/&cd=1&hl=zh-CN&ct=clnk&gl=us,284.0,5
/2010/11/03/driver-safety-tip-a-slight-loss-of-vehicle-stability-is-a-good-sign-to-pull-over/,283.93333333333334,67
/2010/08/18/the-webs-senses-are-evolving-to-optimize-ad-value/,283.1111111111111,40
/2009/09/14/procrastinate-until-youre-ready/,282.8225806451613,215
/2010/04/12/connect-islands-of-value-then-get-out-of-the-way-2/,282.3333333333333,71
/2010/08/17/comparison-of-internet-marketing-channels/,282.1666666666667,72
/2010/10/22/matricide-socnets-plan-to-strangle-the-web-which-gave-them-life/,281.72727272727275,57
/2009/02/26/when-energy-meets-ideas-brilliant-new-companies-are-born/,281.375,19
/2010/09/21/state-propagation-with-multiple-databases/,279.3636363636364,27
/tag/hacking/,278.8333333333333,6
/2010/02/22/the-net-the-megaphone-of-minds/,278.25,13
/2009/11/20/chromeos-more-than-a-dumb-terminal/,278.22222222222223,62
/2009/12/26/an-echo-through-time-the-minimalist-trend/,277.9340659340659,1373
/2010/11/24/safe-guarding-future-web-evolution/,276.6,11
/?s=Network+economy&submit=Search,275.0,1
/2010/01/17/teams-are-non-linear-force-multipliers/,274.35483870967744,273
/2009/07/07/outsourcing-has-outside-costs/,272.85714285714283,3
/2010/01/31/cutting-ties-with-my-old-friend-microsoft/,272.15384615384613,145
/2009/10/24/startups-the-agents-of-evolutionary-engineering/,272.0,3
/outgoing/www.Iter8r.com,272.0,1
/2009/07/09/personalization-market-influencers/,271.0,3
/outgoing/www.google.com/profiles/itafroma#buzz,271.0,4
/2010/07/28/open-the-factory-doors-let-in-the-breeze-and-sunshine/,269.875,16
/2010/09/10/cool-breezes-the-messenger-of-change-and-fantastic-network-challenges/,269.3,26
/2009/12/29/the-hidra-has-many-heads-cheap-disposable-resilience/,267.6764705882353,244
/2010/02/06/can-search-discover-the-spark-of-life/,266.7142857142857,52
/2010/04/03/ideal-coding-easy-to-pickup-yet-abundant-in-function/,265.3768115942029,489
/resume/marks_resume.html,265.0,14
/2010/02/20/javascript-jquery-plugins-visualizations-dont-look-half-bad/,264.5405405405405,131
/2009/09/20/run-as-fast-as-you-can-push-yourself/,264.375,41
/2009/08/27/excellent-content-still-requires-a-pretty-package/,264.0,8
/2010/07/24/computation-how-deep-does-the-rabbit-hole-go/,262.26666666666665,57
/?p=5116&preview=true,262.0,1
/2010/05/26/probe-a-fictional-programming-language-design/,261.96190476190475,1459
/2010/04/01/unorthodox-optimization/,261.6923076923077,102
/2010/07/05/if-you-want-to-live-comfort-eagle-go-the-distance/,260.75,43
/?p=5798&preview=true,259.1,4
/old_site/index.html,259.0,1
/2009/06/08/top-4-core-business-priorities/,258.7916666666667,105
/2010/07/26/security-is-not-the-product-of-rules-based-systems-but-rooted-in-banishing-ignorance/,258.5,14
/2010/04/04/i-fell-for-the-ihype/,257.9555555555556,122
/2009/07/29/crowd-sourced-venture-capitalism/,257.0888888888889,140
/outgoing/www.readwriteweb.com/archives/yahoos_new_local_search_is_great_too_bad_itll_get.php,257.0,1
/page/11/?s=time,256.0,1
/2010/04/19/social-web-flow-that-supports-open-real-time-updates/,255.5,50
/2010/09/25/lazy-saturday-mornings-are-my-religion/,254.3658536585366,403
/2010/08/04/our-minds-never-tire-of-simulating-reality/,253.28571428571428,42
/2010/09/06/the-greatest-developer-fear/,252.8181818181818,78
/2010/04/22/hippy-capitalism/?success=,252.5,1
/2010/01/06/unleash-an-avalanche-of-value-with-precise-minimal-actions/,252.125,22
/2010/08/26/tech-startup-culture-is-spreading-and-contagious-but-not-on-long-island/,252.1,33
/2010/05/22/nostat-us-api-draft-0/,251.83333333333334,19
/outgoing/twitter.com/victusfate/victusfate-feed,251.0,1
/?p=4158&preview=true,250.5,4
/outgoing/feeds.feedburner.com/VictusSpiritus,250.0909090909091,31
/2010/03/07/the-adaptive-augmented-reality-web/,249.06976744186048,210
/?p=4193&preview=true,249.0,1
/outgoing/en.wikipedia.org/wiki/Cognitive_dissonance,245.5,2
/2010/11/21/wrapping-up-the-silicon-valley-tour/,245.4,20
/outgoing/mobile.twitter.com/fredwilson/status/13882434038,244.0,2
/2010/06/02/corporate-hq-in-paradise/,243.9090909090909,30
/2010/04/09/choice-is-an-optional-feature/,243.33333333333334,82
/2009/10/15/how-to-embed-google-wave-on-your-wordpress-blog/,243.0140252454418,1388
/2010/01/07/feedback-works-when-youre-detached-from-the-idea/,243.0,15
/outgoing/www.stuckincustoms.com/2010/09/19/burning-man/,243.0,2
/2010/09/29/youre-never-given-time-to-build-you-have-to-take-it/,242.76704545454547,3914
/2009/11/25/art-opens-the-door-to-connecting-understanding-and-inspiring/,242.66666666666666,19
/2010/08/16/whos-brad-feld/,241.66666666666666,30
/2010/03/25/building-sand-castles-in-time/,241.6153846153846,270
/2009/11/15/walking-down-the-tracks-of-ruby-on-rails/,241.0625,486
/2010/11/15/long-commutes-each-way-beg-for-telepresence/,241.0,33
/outgoing/www.zachstronaut.com/projects/rotate3di/#demos,241.0,3
/2009/07/21/motivation-for-behavior-change-cognitive-dissonance/,240.65625,216
/outgoing/www.infoq.com/news/2010/06/couchdb,239.25,6
/2010/11/01/every-groovy-rhythm-has-downbeats/,238.28571428571428,27
/2010/04/05/the-gilded-cage-of-technology/,236.72727272727272,54
/2009/06/18/barriers-to-social-change/,236.35164835164835,365
/?page_id=3095&preview=true,235.05555555555554,1
/translate_c?hl=ja&sl=en&u=http://www.victusspiritus.com/2010/01/18/javascript-twitter-realtime-search-widget/&prev=/search%3Fq%3DTwitter%2BRealtime%2BSearch%2BWidget%26hl%3Dja%26rlz%3D1C1CHMA_jaJP357JP358&rurl=translate.google.co.jp&twu=1&usg=ALkJrhighCrh_IbSusCveLzJZmG31lfWGw,234.0,1
/2010/04/27/rebooting-your-job/,233.13513513513513,101
/2009/08/01/apple-att-are-pulling-a-thelma-and-louise/,233.03846153846155,105
/2009/12/28/failx3-win/,233.0,43
/2010/03/13/data-silos-or-a-social-web-pattern/,231.58333333333334,51
/translate_c?hl=id&sl=en&tl=id&u=http://www.victusspiritus.com/2009/10/15/how-to-embed-google-wave-on-your-wordpress-blog/&rurl=translate.google.co.id&twu=1&usg=ALkJrhhACNvb9D-2cS45gjtoEHl2k6PBug,230.75,2
/2010/11/09/a-man-on-a-mission-jeff-miller-adds-new-structure-to-hackernews/,230.33333333333334,93
/2010/02/28/positive-karma-little-things-that-change-the-world-for-the-better/,230.11111111111111,521
/outgoing/twitter.com/VictusFate,230.0,2
/2010/08/05/the-art-of-aggregation/,229.46428571428572,98
/2010/07/18/when-it-comes-to-startup-tasks-there-can-be-only-one/,228.70212765957447,557
/2010/03/05/whats-your-price/,228.4,33
/2010/06/09/memes-viral-social-patterns/,228.4,29
/tag/design/,226.68421052631578,36
/2010/07/11/take-a-moment-to-clear-your-mind/,226.11764705882354,28
/servlet/redirect.srv/sruj/sbeeueweijmmwdr/suvw/p1/2010/08/21/burn-the-ships/,226.0,1
/2010/03/20/the-sizzling-nyc-startup-interview-series-first-on-deck-stocktwits/,225.52941176470588,100
/2009/06/01/the-importance-of-corporate-culture/,224.39805825242718,581
/outgoing/wordpress.org/extend/plugins/wavr/,223.87878787878788,139
/?s=cultural+structure,223.0,1
/2010/12/04/incompatible-apple-products/,222.5,87
/2010/03/22/the-sizzling-nyc-startup-interview-series-rockethub/,222.07407407407408,59
/2010/08/13/laid-up-with-time-to-take-stock/,220.6,12
/2010/08/03/the-cage-guards-against-the-tiger-only-if-were-outside-its-bars/,220.0,38
/2010/04/15/the-social-web-influences-content/,219.61111111111111,44
/outgoing/www.covestor.com/how/,219.33333333333334,13
/2010/04/08/a-dynamic-programming-language-defined-by-urls/,219.03030303030303,210
/2010/10/08/on-exit-strategies-dont-hate-the-player-hate-the-game/,218.91666666666666,24
/2010/01/09/why-startups-work-doing-so-much-with-so-little-is-impossible-to-predict/,217.8840579710145,516
/2009/09/18/terraforming-lets-begin-by-making-earth-habitable/,217.0,7
/outgoing/www.squidoo.com/BrainWaveReader,217.0,3
/page/21/,217.0,1
/2010/12/09/love-instapaper-youll-dig-knowabout-it/,216.125,41
/2010/09/15/avatars-shattering-the-boundaries-between-virtual-worlds/,215.3095238095238,227
/?wptheme=Victus%20Spiritus,215.0,1
/2010/11/02/dreamy-first-night-with-macbook-air/,213.5,108
/2009/10/10/donors-choose-fred-wilsons-charity-of-choice/,213.0,2
/2010/07/27/the-potential-of-the-net-is-far-more-than-todays-colliseum/,211.85714285714286,40
/2010/10/10/the-new-journalist-is-the-man-in-the-arena/,211.33333333333334,21
/2009/08/15/the-void-of-liquidity-beckons-us-to-action/,210.75,5
/2009/12/30/stylized-information-will-be-the-only-survivor/,210.5,11
/page/10/,210.5,2
/outgoing/guide.couchdb.org/editions/1/en/consistency.html#key,210.0,10
/outgoing/sethgodin.typepad.com/seths_blog/2007/04/the_brand_formu.html,210.0,1
/2010/04/06/restless-toys-that-could-be-tools/,209.8181818181818,33
/2010/11/25/how-many-of-your-favorite-influencers-make-you-money/,209.33333333333334,44
